mjd,mag,magerr
0.0,0.0,0.05
1.0,2.0,0.05
2.0,2.0,0.05
3.0,3.0,0.05
4.0,5.0,0.05
5.0,7.0,0.05
6.0,12.0,0.05
7.0,14.0,0.05
8.0,14.0,0.05
9.0,14.0,0.05
10.0,17.0,0.05
11.0,18.0,0.05
12.0,20.0,0.05
13.0,21.0,0.05
14.0,22.0,0.05
15.0,24.0,0.05
16.0,25.0,0.05
17.0,27.0,0.05
18.0,26.0,0.05
19.0,31.0,0.05
20.0,37.0,0.05
21.0,38.0,0.05
22.0,38.0,0.05
23.0,38.0,0.05
24.0,40.0,0.05
25.0,46.0,0.05
26.0,46.0,0.05
27.0,47.0,0.05
28.0,48.0,0.05
29.0,51.0,0.05
30.0,52.0,0.05
31.0,60.0,0.05
32.0,64.0,0.05
33.0,66.0,0.05
34.0,67.0,0.05
35.0,73.0,0.05
36.0,73.0,0.05
37.0,75.0,0.05
38.0,80.0,0.05
39.0,84.0,0.05
40.0,87.0,0.05
41.0,88.0,0.05
42.0,92.0,0.05
43.0,96.0,0.05
44.0,97.0,0.05
45.0,101.0,0.05
46.0,105.0,0.05
47.0,110.0,0.05
48.0,111.0,0.05
49.0,112.0,0.05
50.0,113.0,0.05
51.0,113.0,0.05
52.0,117.0,0.05
53.0,121.0,0.05
54.0,122.0,0.05
55.0,122.0,0.05
56.0,123.0,0.05
57.0,123.0,0.05
58.0,124.0,0.05
59.0,127.0,0.05
60.0,132.0,0.05
61.0,134.0,0.05
62.0,134.0,0.05
63.0,136.0,0.05
64.0,138.0,0.05
65.0,138.0,0.05
66.0,139.0,0.05
67.0,141.0,0.05
68.0,142.0,0.05
69.0,145.0,0.05
70.0,145.0,0.05
71.0,145.0,0.05
72.0,147.0,0.05
73.0,151.0,0.05
74.0,157.0,0.05
75.0,159.0,0.05
76.0,160.0,0.05
77.0,163.0,0.05
78.0,166.0,0.05
79.0,169.0,0.05
80.0,172.0,0.05
81.0,176.0,0.05
82.0,181.0,0.05
83.0,185.0,0.05
84.0,187.0,0.05
85.0,192.0,0.05
86.0,194.0,0.05
87.0,198.0,0.05
88.0,200.0,0.05
89.0,200.0,0.05
90.0,205.0,0.05
91.0,205.0,0.05
92.0,205.0,0.05
93.0,206.0,0.05
94.0,208.0,0.05
95.0,209.0,0.05
96.0,210.0,0.05
97.0,213.0,0.05
98.0,213.0,0.05
99.0,214.0,0.05
100.0,216.0,0.05
101.0,217.0,0.05
102.0,220.0,0.05
103.0,222.0,0.05
104.0,223.0,0.05
105.0,225.0,0.05
106.0,225.0,0.05
107.0,226.0,0.05
108.0,226.0,0.05
109.0,227.0,0.05
110.0,228.0,0.05
111.0,234.0,0.05
112.0,235.0,0.05
113.0,238.0,0.05
114.0,238.0,0.05
115.0,239.0,0.05
116.0,243.0,0.05
117.0,246.0,0.05
118.0,248.0,0.05
119.0,251.0,0.05
120.0,252.0,0.05
121.0,252.0,0.05
122.0,254.0,0.05
123.0,254.0,0.05
124.0,259.0,0.05
125.0,260.0,0.05
126.0,260.0,0.05
127.0,260.0,0.05
128.0,260.0,0.05
129.0,262.0,0.05
130.0,262.0,0.05
131.0,264.0,0.05
132.0,264.0,0.05
133.0,264.0,0.05
134.0,268.0,0.05
135.0,268.0,0.05
136.0,269.0,0.05
137.0,270.0,0.05
138.0,272.0,0.05
139.0,272.0,0.05
140.0,272.0,0.05
141.0,272.0,0.05
142.0,272.0,0.05
143.0,276.0,0.05
144.0,276.0,0.05
145.0,278.0,0.05
146.0,278.0,0.05
147.0,280.0,0.05
148.0,283.0,0.05
149.0,283.0,0.05
150.0,284.0,0.05
151.0,284.0,0.05
152.0,284.0,0.05
153.0,285.0,0.05
154.0,286.0,0.05
155.0,286.0,0.05
156.0,287.0,0.05
157.0,288.0,0.05
158.0,288.0,0.05
159.0,290.0,0.05
160.0,290.0,0.05
161.0,291.0,0.05
162.0,291.0,0.05
163.0,291.0,0.05
164.0,291.0,0.05
165.0,291.0,0.05
166.0,291.0,0.05
167.0,291.0,0.05
168.0,291.0,0.05
169.0,291.0,0.05
170.0,291.0,0.05
171.0,292.0,0.05
172.0,293.0,0.05
173.0,293.0,0.05
174.0,294.0,0.05
175.0,294.0,0.05
176.0,294.0,0.05
177.0,294.0,0.05
178.0,294.0,0.05
179.0,296.0,0.05
180.0,297.0,0.05
181.0,299.0,0.05
182.0,299.0,0.05
183.0,300.0,0.05
184.0,300.0,0.05
185.0,300.0,0.05
186.0,300.0,0.05
187.0,300.0,0.05
188.0,300.0,0.05
189.0,300.0,0.05
190.0,300.0,0.05
191.0,300.0,0.05
192.0,301.0,0.05
193.0,303.0,0.05
194.0,304.0,0.05
195.0,304.0,0.05
196.0,305.0,0.05
197.0,305.0,0.05
198.0,306.0,0.05
199.0,309.0,0.05
200.0,309.0,0.05
201.0,309.0,0.05
202.0,310.0,0.05
203.0,311.0,0.05
204.0,311.0,0.05
205.0,312.0,0.05
206.0,312.0,0.05
207.0,312.0,0.05
208.0,312.0,0.05
209.0,312.0,0.05
210.0,313.0,0.05
211.0,313.0,0.05
212.0,313.0,0.05
213.0,313.0,0.05
214.0,314.0,0.05
215.0,315.0,0.05
216.0,315.0,0.05
217.0,315.0,0.05
218.0,315.0,0.05
219.0,316.0,0.05
220.0,317.0,0.05
221.0,317.0,0.05
222.0,317.0,0.05
223.0,317.0,0.05
224.0,319.0,0.05
225.0,319.0,0.05
226.0,319.0,0.05
227.0,319.0,0.05
228.0,319.0,0.05
229.0,319.0,0.05
