mjd,mag,magerr
0.0,0.0,0.05
1.0,4.0,0.05
2.0,4.0,0.05
3.0,25.0,0.05
4.0,26.0,0.05
5.0,26.0,0.05
6.0,30.0,0.05
7.0,35.0,0.05
8.0,38.0,0.05
9.0,39.0,0.05
10.0,41.0,0.05
11.0,43.0,0.05
12.0,45.0,0.05
13.0,46.0,0.05
14.0,45.0,0.05
15.0,45.0,0.05
16.0,45.0,0.05
17.0,48.0,0.05
18.0,47.0,0.05
19.0,48.0,0.05
20.0,48.0,0.05
21.0,49.0,0.05
22.0,49.0,0.05
23.0,49.0,0.05
24.0,52.0,0.05
25.0,52.0,0.05
26.0,53.0,0.05
27.0,53.0,0.05
28.0,54.0,0.05
29.0,54.0,0.05
30.0,54.0,0.05
31.0,54.0,0.05
32.0,56.0,0.05
33.0,58.0,0.05
34.0,60.0,0.05
35.0,64.0,0.05
36.0,65.0,0.05
37.0,66.0,0.05
38.0,67.0,0.05
39.0,71.0,0.05
40.0,72.0,0.05
41.0,73.0,0.05
42.0,73.0,0.05
43.0,80.0,0.05
44.0,80.0,0.05
45.0,81.0,0.05
46.0,81.0,0.05
47.0,85.0,0.05
48.0,86.0,0.05
49.0,89.0,0.05
50.0,89.0,0.05
51.0,90.0,0.05
52.0,92.0,0.05
53.0,92.0,0.05
54.0,100.0,0.05
55.0,100.0,0.05
56.0,101.0,0.05
57.0,102.0,0.05
58.0,103.0,0.05
59.0,107.0,0.05
60.0,111.0,0.05
61.0,116.0,0.05
62.0,119.0,0.05
63.0,125.0,0.05
64.0,128.0,0.05
65.0,131.0,0.05
66.0,139.0,0.05
67.0,152.0,0.05
68.0,155.0,0.05
69.0,159.0,0.05
70.0,166.0,0.05
71.0,170.0,0.05
72.0,175.0,0.05
73.0,182.0,0.05
74.0,186.0,0.05
75.0,194.0,0.05
76.0,195.0,0.05
77.0,197.0,0.05
78.0,200.0,0.05
79.0,201.0,0.05
80.0,202.0,0.05
81.0,205.0,0.05
82.0,207.0,0.05
83.0,210.0,0.05
84.0,215.0,0.05
85.0,216.0,0.05
86.0,218.0,0.05
87.0,217.0,0.05
88.0,223.0,0.05
89.0,227.0,0.05
90.0,230.0,0.05
91.0,231.0,0.05
92.0,235.0,0.05
93.0,236.0,0.05
94.0,238.0,0.05
95.0,242.0,0.05
96.0,244.0,0.05
97.0,246.0,0.05
98.0,248.0,0.05
99.0,248.0,0.05
100.0,248.0,0.05
101.0,249.0,0.05
102.0,251.0,0.05
103.0,253.0,0.05
104.0,255.0,0.05
105.0,255.0,0.05
106.0,255.0,0.05
107.0,256.0,0.05
108.0,259.0,0.05
109.0,263.0,0.05
110.0,264.0,0.05
111.0,265.0,0.05
112.0,265.0,0.05
113.0,265.0,0.05
114.0,266.0,0.05
115.0,266.0,0.05
116.0,267.0,0.05
117.0,267.0,0.05
118.0,268.0,0.05
119.0,271.0,0.05
120.0,272.0,0.05
121.0,272.0,0.05
122.0,273.0,0.05
123.0,275.0,0.05
124.0,276.0,0.05
125.0,278.0,0.05
126.0,278.0,0.05
127.0,278.0,0.05
128.0,279.0,0.05
129.0,279.0,0.05
130.0,280.0,0.05
131.0,280.0,0.05
132.0,280.0,0.05
133.0,280.0,0.05
134.0,280.0,0.05
135.0,280.0,0.05
136.0,281.0,0.05
137.0,283.0,0.05
138.0,283.0,0.05
139.0,286.0,0.05
140.0,286.0,0.05
141.0,286.0,0.05
142.0,286.0,0.05
143.0,287.0,0.05
144.0,286.0,0.05
145.0,287.0,0.05
146.0,287.0,0.05
147.0,287.0,0.05
148.0,287.0,0.05
149.0,287.0,0.05
150.0,289.0,0.05
151.0,290.0,0.05
152.0,290.0,0.05
153.0,291.0,0.05
154.0,291.0,0.05
155.0,291.0,0.05
156.0,292.0,0.05
157.0,294.0,0.05
158.0,294.0,0.05
159.0,294.0,0.05
160.0,293.0,0.05
161.0,293.0,0.05
162.0,293.0,0.05
163.0,293.0,0.05
164.0,293.0,0.05
165.0,293.0,0.05
166.0,293.0,0.05
167.0,293.0,0.05
168.0,293.0,0.05
169.0,293.0,0.05
170.0,293.0,0.05
171.0,293.0,0.05
172.0,294.0,0.05
173.0,294.0,0.05
174.0,295.0,0.05
175.0,295.0,0.05
176.0,296.0,0.05
177.0,296.0,0.05
178.0,297.0,0.05
179.0,297.0,0.05
180.0,297.0,0.05
181.0,298.0,0.05
182.0,298.0,0.05
183.0,298.0,0.05
184.0,298.0,0.05
185.0,298.0,0.05
186.0,298.0,0.05
187.0,300.0,0.05
188.0,301.0,0.05
189.0,301.0,0.05
190.0,301.0,0.05
191.0,301.0,0.05
192.0,303.0,0.05
193.0,305.0,0.05
194.0,306.0,0.05
195.0,307.0,0.05
196.0,308.0,0.05
197.0,308.0,0.05
198.0,308.0,0.05
199.0,308.0,0.05
200.0,309.0,0.05
201.0,309.0,0.05
202.0,309.0,0.05
203.0,312.0,0.05
204.0,313.0,0.05
205.0,313.0,0.05
206.0,314.0,0.05
207.0,314.0,0.05
208.0,316.0,0.05
209.0,317.0,0.05
210.0,317.0,0.05
211.0,317.0,0.05
212.0,317.0,0.05
213.0,317.0,0.05
214.0,317.0,0.05
215.0,317.0,0.05
216.0,318.0,0.05
217.0,317.0,0.05
218.0,317.0,0.05
219.0,317.0,0.05
220.0,317.0,0.05
221.0,317.0,0.05
222.0,317.0,0.05
223.0,318.0,0.05
224.0,318.0,0.05
225.0,318.0,0.05
226.0,318.0,0.05
227.0,318.0,0.05
228.0,318.0,0.05
229.0,318.0,0.05
230.0,318.0,0.05
231.0,318.0,0.05
232.0,318.0,0.05
233.0,318.0,0.05
234.0,318.0,0.05
235.0,318.0,0.05
236.0,319.0,0.05
237.0,319.0,0.05
238.0,320.0,0.05
